optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,4,2,5.474731779031572e-12,1.0,0.4337916374206543,26
L-BFGS-B,8,2,1.836517049547126e-12,1.0,1.249385118484497,26
L-BFGS-B,16,2,1.5919057738678077e-11,1.0,4.045410633087158,26
L-BFGS-B,1,2,0.05995685173862225,0.9462890625,0.1846318244934082,27
L-BFGS-B,2,2,2.141416211021152e-11,1.0,0.7725498676300049,27
L-BFGS-B,4,2,9.552798552192598e-10,1.0,0.38977479934692383,27
L-BFGS-B,8,2,7.641315219464317e-10,1.0,0.7860760688781738,27
L-BFGS-B,16,2,6.006158306814946e-09,1.0,2.100046157836914,27
L-BFGS-B,1,2,2.0747514817287538e-11,1.0,0.20165157318115234,28
L-BFGS-B,2,2,1.0562856700424561e-09,1.0,0.16961979866027832,28
L-BFGS-B,4,2,1.6247030831806342e-08,1.0,0.25367236137390137,28
L-BFGS-B,8,2,7.074558633357597e-09,1.0,0.6184356212615967,28
L-BFGS-B,16,2,7.007450175677832e-13,1.0,4.008881568908691,28
L-BFGS-B,1,2,1.678102101720924e-13,1.0,0.17912912368774414,29
L-BFGS-B,2,2,7.860155901151522e-09,1.0,0.14811086654663086,29
L-BFGS-B,4,2,9.187206551075633e-12,1.0,0.27221179008483887,29
L-BFGS-B,8,2,1.1639595551282689e-08,1.0,0.6940078735351562,29
L-BFGS-B,16,2,7.335611645897799e-09,1.0,2.074988842010498,29
L-BFGS-B,1,2,2.5125734826048074e-13,1.0,0.31273818016052246,30
L-BFGS-B,2,2,1.0377337322786673e-09,1.0,0.15162158012390137,30
L-BFGS-B,4,2,2.7561556509292373e-09,1.0,0.2636899948120117,30
L-BFGS-B,8,2,9.606473783119185e-09,1.0,0.7310442924499512,30
L-BFGS-B,16,2,2.088523798349229e-12,1.0,3.490950107574463,30
L-BFGS-B,1,2,0.028293229027403596,0.9765625,0.18214869499206543,31
L-BFGS-B,2,2,3.38927497178787e-12,1.0,0.5654170513153076,31
L-BFGS-B,4,2,5.669130442864656e-11,1.0,0.3317441940307617,31
L-BFGS-B,8,2,1.0080579745941343e-08,1.0,1.1073126792907715,31
L-BFGS-B,16,2,6.247999895236944e-09,1.0,2.4192020893096924,31
L-BFGS-B,1,2,0.028293229015284485,0.98046875,0.30922985076904297,32
L-BFGS-B,2,2,1.0862033494873913e-11,1.0,0.6970021724700928,32
L-BFGS-B,4,2,2.336026830307425e-09,1.0,0.3762776851654053,32
L-BFGS-B,8,2,8.434228981890612e-09,1.0,1.3799359798431396,32
L-BFGS-B,16,2,1.6164099100879348e-08,1.0,2.255070447921753,32
L-BFGS-B,1,2,0.02829322901521511,0.98046875,0.16161084175109863,33
L-BFGS-B,2,2,7.517653166644322e-12,1.0,0.6765079498291016,33
L-BFGS-B,4,2,2.2560587842335167e-09,1.0,0.2746908664703369,33
L-BFGS-B,8,2,1.2479060007564158e-09,1.0,0.843055248260498,33
